X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
D,2,1,2,A6,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,1
E,2,2,2,A6,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,J,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,2,2,A4,K,K,K,K,K,K,Q,Q,R,R,R,R,X,X,X,X,X,X,1
D,2,1,2,A5,J,K,K,K,K,K,N,N,N,N,N,N,X,X,X,X,X,X,0
E,2,2,1,A6,K,K,K,L,L,L,P,Q,R,R,R,R,X,X,X,X,X,X,1
F,2,2,2,A6,K,K,K,K,J,K,R,R,R,R,R,R,X,X,X,X,X,X,0
B,2,1,2,A5,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
B,1,1,1,A5,K,L,L,L,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A3,K,K,K,K,K,K,P,P,P,Q,Q,Q,X,X,X,X,X,X,0
E,1,2,2,A4,K,K,K,K,K,K,O,P,Q,Q,Q,Q,X,X,X,X,X,X,0
E,2,2,2,A6,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
E,2,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,3,2,A5,K,K,K,L,L,L,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
D,2,4,1,A4,K,K,K,K,K,K,Q,Q,Q,Q,Q,R,X,X,X,X,X,X,0
C,2,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,3,2,A3,K,K,K,K,K,K,Q,Q,R,R,R,R,X,X,X,X,X,X,0
D,1,1,1,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A6,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,J,J,Q,Q,Q,Q,R,R,X,X,X,X,X,X,0
D,1,2,2,A6,L,L,L,L,L,L,Q,Q,Q,P,Q,Q,W,W,W,X,X,W,0
D,1,1,2,A4,K,K,K,K,K,K,O,O,O,O,O,P,X,X,X,X,X,X,0
D,2,1,1,A6,L,L,L,J,L,L,R,R,R,R,Q,Q,X,X,X,W,X,X,1
E,2,2,1,A5,K,K,K,K,K,K,Q,Q,Q,Q,Q,R,X,X,X,X,X,X,0
E,1,1,1,A5,K,K,K,K,K,K,R,R,R,Q,Q,Q,X,X,X,X,X,X,0
F,2,2,2,A3,K,K,K,K,K,K,P,P,P,Q,R,R,X,X,X,X,X,X,0
E,1,1,2,A6,L,L,L,L,L,L,P,P,P,Q,R,R,X,X,X,X,X,W,0
F,2,2,1,A5,L,L,J,K,K,K,R,Q,R,R,R,R,W,X,X,X,X,X,0
E,2,1,2,A6,J,J,J,J,J,K,P,P,P,P,P,P,X,X,X,X,X,X,1
F,2,2,1,A5,L,L,L,K,K,L,Q,R,R,Q,R,R,X,X,W,X,X,X,0
E,2,1,2,A6,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,2,1,A3,K,K,K,K,K,K,O,O,O,O,O,O,X,X,X,X,X,X,0
C,1,1,1,A4,J,J,K,K,K,K,O,O,P,P,P,P,X,X,X,X,X,X,1
C,2,1,2,A4,K,K,K,L,L,L,N,N,O,R,R,R,X,X,X,X,X,X,0
E,2,2,2,A6,L,L,L,L,L,L,O,P,P,P,Q,P,X,X,X,X,X,X,1
E,2,2,2,A4,K,K,K,K,K,K,O,O,O,O,O,O,X,X,X,X,X,X,0
F,1,2,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
B,1,2,2,A4,L,L,L,L,K,L,Q,P,Q,Q,Q,Q,V,W,W,X,W,X,0
E,2,2,1,A5,K,K,K,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,1
C,2,2,2,A4,K,K,K,K,K,K,N,N,N,N,N,N,X,X,X,X,X,X,0
E,1,2,1,A4,J,K,K,K,K,J,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,2,2,A5,K,K,K,K,K,K,O,O,Q,Q,Q,P,X,X,X,X,W,X,0
E,1,1,1,A5,K,K,K,K,K,K,O,O,P,P,Q,Q,X,X,X,X,X,X,1
F,2,3,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,2,1,2,A6,J,J,J,J,H,I,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
F,1,1,2,A6,L,L,L,L,K,L,R,R,R,R,R,R,X,W,X,X,X,X,0
E,2,3,1,A6,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
E,1,1,1,A5,J,J,J,J,J,J,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
F,1,2,2,A6,K,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
F,2,3,1,A3,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
F,2,2,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,3,1,A3,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,2,1,A4,K,K,K,K,J,K,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,2,2,A6,J,J,J,J,J,J,P,P,P,P,P,P,X,X,X,X,X,X,1
F,1,2,2,A5,J,J,J,K,K,J,R,R,R,R,Q,Q,X,X,X,X,X,X,0
D,1,2,1,A5,L,L,L,L,L,L,O,O,O,O,O,P,X,X,X,X,X,U,0
E,2,2,1,A4,K,L,L,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,1,A4,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,1,1,2,A6,L,J,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,3,1,A2,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
E,2,1,1,A5,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
E,2,2,1,A5,K,K,K,K,K,L,O,O,P,P,R,R,X,X,X,X,X,X,0
F,2,3,1,A6,J,J,J,J,J,J,R,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
F,2,2,2,A6,K,K,K,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,K,K,K,K,K,K,Q,Q,P,R,R,R,X,X,X,X,X,X,0
D,2,2,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
E,2,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A5,K,K,K,K,K,K,O,P,R,R,R,R,X,X,X,X,X,X,1
F,2,2,1,A6,J,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
F,1,2,1,A4,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,3,1,A1,L,L,L,L,L,L,R,R,R,R,R,Q,X,X,X,X,W,X,0
B,1,2,2,A5,K,L,L,K,K,K,R,R,P,P,P,P,X,V,X,X,X,X,0
E,1,1,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,J,K,K,L,L,L,Q,Q,R,R,R,R,X,X,X,X,X,X,1
F,1,2,1,A3,K,K,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,1,2,A6,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,2,3,1,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,3,1,A6,K,K,K,K,K,L,Q,Q,Q,Q,R,R,X,X,X,X,X,X,0
E,1,1,1,A3,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,1,A5,J,J,J,J,J,J,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,3,1,A2,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,1,3,1,A6,K,K,K,K,K,K,N,N,N,N,N,N,X,X,X,X,X,X,0
B,1,2,1,A1,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,3,1,A5,K,K,J,K,K,J,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
E,1,2,1,A1,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,1,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,1,1,2,A5,K,L,J,L,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,1,A6,J,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
F,2,2,2,A6,K,K,K,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,1,A6,L,J,J,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,1,A3,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,1,A5,L,L,K,L,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,K,J,J,J,J,K,R,R,R,R,R,R,X,X,X,X,X,X,0
D,1,2,1,A5,K,K,K,K,K,K,O,O,O,P,P,P,X,X,X,X,X,X,0
E,2,1,2,A5,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,2,2,2,A5,K,K,K,K,K,K,Q,P,Q,Q,P,Q,W,X,X,X,X,X,0
F,1,2,1,A4,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,1,A3,K,J,J,J,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,2,2,A6,K,K,K,K,K,J,R,R,R,R,R,R,X,X,X,X,X,X,1
B,1,1,1,A2,L,L,L,L,L,L,R,R,R,Q,Q,R,X,X,W,W,X,X,0
E,2,2,2,A6,K,K,K,K,K,L,Q,Q,R,R,R,R,X,X,X,X,X,X,1
F,2,2,1,A5,L,L,L,L,L,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,3,1,A4,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,1,1,A2,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A5,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,1,A4,K,K,K,J,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,1,2,A5,K,K,K,K,K,J,P,P,Q,Q,P,P,X,X,X,X,X,X,0
E,1,1,2,A6,K,K,K,J,K,K,Q,Q,Q,R,Q,Q,X,X,X,X,X,X,0
F,1,2,1,A3,K,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
C,2,1,2,A6,L,L,L,L,L,L,R,Q,R,R,R,R,W,X,X,X,X,X,0
E,2,2,2,A6,K,K,K,K,I,J,P,P,P,P,P,P,X,X,X,X,X,X,1
B,2,1,1,A4,L,K,K,J,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A4,L,J,L,L,K,K,R,R,Q,R,R,Q,X,W,X,X,W,X,0
E,1,1,2,A6,K,K,J,K,K,K,P,P,P,Q,Q,Q,X,X,X,X,X,X,0
D,2,4,2,A6,K,K,K,K,K,K,Q,Q,Q,O,P,R,X,X,V,X,X,U,0
F,2,1,2,A6,K,K,K,K,K,K,R,R,R,Q,R,R,X,X,X,X,X,X,0
F,1,3,1,A2,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,2,1,A4,L,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
E,1,1,2,A5,L,L,J,J,J,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,1,1,1,A3,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,1,A2,J,J,J,J,I,J,R,R,Q,Q,Q,Q,X,X,X,X,X,X,1
F,2,3,1,A3,J,K,K,K,K,J,P,P,P,P,P,P,X,X,X,X,X,X,1
F,2,3,1,A3,K,K,K,K,K,K,Q,R,R,R,R,R,X,X,X,X,X,X,1
D,2,1,2,A5,L,L,L,L,L,K,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,1,1,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,3,1,A1,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
C,2,1,1,A5,L,L,L,L,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A4,K,J,K,L,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,1,2,A5,K,K,K,K,K,K,P,Q,Q,Q,Q,R,X,X,X,X,X,X,0
E,1,1,1,A4,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
C,1,1,1,A5,L,K,K,K,K,L,P,R,R,R,R,R,X,X,X,X,X,X,1
F,2,1,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
F,2,1,2,A6,K,K,K,K,K,K,R,R,Q,Q,Q,Q,X,X,X,X,X,X,0
F,2,2,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,2,1,A4,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
F,2,2,2,A5,L,L,L,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A5,K,K,K,K,J,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,K,K,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A2,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
D,1,1,2,A6,L,L,K,K,K,L,R,R,R,R,R,Q,X,X,X,X,W,X,0
F,2,2,1,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
C,1,1,1,A5,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,3,1,A4,J,K,K,J,K,K,O,O,P,P,P,P,X,X,X,X,X,X,1
E,2,1,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
D,2,2,1,A3,L,L,J,L,J,L,R,Q,R,Q,Q,R,W,X,W,X,X,W,0
F,1,3,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,2,1,A3,L,L,J,L,L,J,R,R,R,R,R,R,X,X,X,X,X,X,1
F,1,2,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,1,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,J,J,J,J,H,I,R,R,R,R,R,R,X,X,X,X,X,X,1
D,2,2,1,A6,J,K,K,K,K,K,N,N,N,N,N,O,X,X,X,X,X,X,0
F,2,1,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,2,2,A6,L,J,K,K,K,L,P,P,Q,Q,Q,R,X,X,X,X,X,X,1
F,1,2,2,A4,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,W,0
F,1,3,2,A6,K,J,I,J,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
F,1,3,3,A4,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
E,2,1,1,A2,K,K,K,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,2,2,A6,K,K,K,K,K,K,P,O,P,Q,P,P,X,X,X,W,X,X,0
F,2,2,2,A6,K,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,1
E,2,2,1,A5,K,K,L,L,L,K,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,2,2,A6,L,L,L,L,L,L,O,O,R,R,R,R,X,X,X,X,X,X,0
C,2,3,1,A5,L,L,L,L,L,L,Q,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A6,K,K,J,I,J,K,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,1,2,A5,K,K,K,K,J,J,O,R,O,O,O,O,X,X,X,X,X,X,0
F,2,1,2,A5,K,J,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,2,2,A6,L,L,L,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,1
C,2,3,2,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
C,1,2,1,A4,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A5,J,J,J,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,1,A4,K,L,L,K,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A5,J,J,J,J,J,J,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
C,2,2,2,A4,L,L,L,L,K,K,Q,Q,P,O,O,P,X,W,V,X,X,X,0
F,2,1,2,A5,K,J,K,K,J,J,R,R,R,R,R,Q,X,X,X,X,W,X,1
E,2,2,1,A5,K,K,K,K,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,2,1,2,A5,L,L,L,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,1,A5,K,K,K,K,K,J,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,2,3,1,A6,K,J,J,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,1,1,A4,K,J,J,L,L,J,R,R,R,R,R,R,X,X,X,X,X,X,1
E,1,1,1,A3,K,K,K,K,K,K,P,P,O,P,P,P,X,W,X,X,X,X,0
D,1,1,2,A5,K,K,L,K,K,L,Q,Q,R,R,R,R,X,X,X,X,X,X,0
C,2,3,2,A5,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
B,1,1,2,A5,K,K,K,K,K,K,N,N,N,N,P,N,X,X,X,X,U,X,0
E,2,2,2,A6,K,K,L,L,L,L,Q,R,R,R,R,R,X,X,X,X,X,X,0
F,1,3,1,A2,K,K,K,I,J,J,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
F,2,2,2,A6,K,J,J,K,K,L,Q,Q,Q,Q,R,Q,X,X,X,X,W,X,0
E,2,2,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,W,X,X,X,0
F,1,1,2,A6,K,K,K,K,K,K,P,P,Q,Q,Q,Q,X,X,X,X,X,X,0
E,2,3,1,A5,K,K,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A4,K,K,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A5,K,K,K,K,K,K,Q,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A5,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
E,1,1,1,A4,J,J,J,K,K,J,P,P,P,P,P,P,X,X,X,X,X,X,1
D,2,3,1,A4,K,L,L,L,K,K,R,R,R,P,O,O,X,X,V,V,X,X,0
F,2,2,1,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A4,K,K,K,K,K,K,P,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,2,1,A5,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
C,2,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,1,1,1,A4,L,L,L,L,L,L,R,R,Q,M,R,R,X,W,S,X,X,X,0
F,2,1,1,A2,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,3,1,A3,K,K,K,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A6,K,L,L,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,2,1,1,A5,L,L,L,L,L,K,R,R,R,R,Q,Q,X,X,X,W,X,X,0
E,2,2,2,A4,L,L,L,L,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A5,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
F,1,2,3,A3,K,K,K,K,K,K,P,Q,Q,R,R,R,X,X,X,X,X,X,0
F,2,2,1,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,R,X,X,X,X,X,X,0
F,2,3,2,A5,K,J,J,K,K,J,R,R,R,R,R,Q,X,X,X,X,X,X,1
E,2,1,2,A6,L,L,L,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,1,2,2,A3,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A6,J,I,I,J,J,J,P,P,P,P,P,P,X,X,X,X,X,X,1
F,2,2,3,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
A,1,1,2,A5,L,K,L,K,K,K,R,R,P,P,Q,Q,X,V,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,K,L,Q,Q,Q,Q,R,R,X,X,X,X,X,X,1
F,2,1,1,A6,L,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
E,1,2,2,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,1,2,1,A3,K,K,K,K,K,K,P,P,Q,Q,Q,Q,X,X,X,X,X,X,1
F,1,1,2,A2,K,K,K,K,K,K,P,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
C,2,1,2,A6,K,K,K,K,K,K,O,O,O,O,O,O,X,X,X,X,X,V,0
B,1,1,1,A4,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
D,2,2,2,A4,L,L,L,L,L,L,R,O,R,R,R,R,U,X,X,X,X,X,0
C,1,1,2,A6,K,K,K,K,K,K,P,P,P,P,P,P,X,W,X,W,V,W,0
C,1,2,1,A6,J,J,J,J,J,L,R,R,R,R,R,R,X,X,X,X,X,X,1
D,1,1,1,A4,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
F,2,2,1,A4,K,K,K,K,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,2,A5,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
C,2,2,1,A6,K,K,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,1,2,A6,L,L,L,L,L,L,R,R,R,Q,R,R,X,X,W,X,X,X,1
C,2,1,1,A4,L,L,L,L,L,K,R,R,R,R,N,Q,X,X,X,T,X,X,0
E,2,1,2,A6,K,K,J,J,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
C,2,1,1,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,1,2,A6,J,J,J,J,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,3,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
D,1,3,2,A5,K,K,K,K,K,K,N,N,N,O,O,O,X,X,X,X,X,X,0
F,2,3,1,A2,K,K,K,K,J,J,R,R,R,R,R,R,X,X,X,X,X,X,0
A,1,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,1,A5,L,L,J,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,1,2,1,A4,J,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
F,1,3,1,A5,J,K,K,K,J,J,Q,Q,Q,P,P,P,X,X,X,X,X,X,1
D,2,1,2,A6,K,K,K,K,K,K,O,O,P,R,R,R,X,X,X,X,X,X,0
F,2,2,1,A5,K,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
F,2,1,3,A3,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,3,1,A4,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
F,2,3,2,A3,K,K,J,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
B,1,2,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,1,1,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,1,A3,K,K,K,K,K,K,Q,Q,Q,Q,Q,R,X,X,X,X,X,X,0
F,1,2,2,A4,J,K,K,K,K,K,P,P,P,Q,Q,Q,X,X,X,X,X,X,1
C,2,3,1,A3,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,W,0
E,2,2,2,A6,K,K,J,J,J,K,P,P,P,P,P,Q,X,X,X,X,X,X,0
F,2,1,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,R,R,X,X,X,X,X,X,0
D,1,1,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,3,1,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
D,2,1,1,A1,K,K,K,K,K,K,N,N,O,N,N,N,X,X,X,X,X,X,1
F,1,2,2,A5,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,2,2,A6,K,K,K,K,K,K,O,O,P,P,P,Q,X,X,X,X,X,X,0
F,1,3,1,A3,K,K,K,K,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A2,L,L,K,L,L,J,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,1,2,A6,K,K,K,K,K,K,O,O,O,O,O,O,X,X,X,X,X,X,0
B,1,1,2,A6,K,K,K,K,K,K,O,M,N,N,N,N,X,X,X,X,X,X,0
E,2,2,1,A6,L,L,L,K,K,K,R,R,Q,Q,Q,Q,X,W,X,X,X,X,0
E,2,1,2,A6,L,L,L,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
C,2,2,1,A6,K,K,L,K,K,L,P,Q,O,P,P,Q,X,U,X,X,W,W,0
